Site,Country,Basis,Evidence
mobileparts.shop,Germany,unknown,no VAT statement found on page
mobilesentrix.co.uk,UK,excl,"""ex vat"""
mobilesentrix.eu,Germany,excl,"""ex vat"""
mobilestar.at,Austria,excl,"""ht"""
mobilesupplies.nl,Netherlands,incl,"""incl. btw"""
mobilexperten.se,SE,unknown,no VAT statement found on page
mobilnidily.cz,Czechia,excl,"""ht"""
mobilverkstedet.no,Norway,unknown,no VAT statement found on page
mobiservis.lt,Lithuania,unknown,no VAT statement found on page
mobishop.ee,Estonia,excl,"""ht"""
mobitelas.lt,Lithuania,unknown,no VAT statement found on page
mobizona.lt,Lithuania,unknown,no VAT statement found on page
mobpartstore.lv,Latvia,unknown,no VAT statement found on page
modchip.gr,Greece,unknown,no VAT statement found on page
moka-gsm.ro,Romania,excl,"""ht"""
motivs.lv,Latvia,excl,"""ht"""
movil.gr,Greece,unknown,no VAT statement found on page
moxedostore.com,Italy,incl,"""iva incl"""
mtimpex.com,Germany,excl,"""exkl. mwst"""
mytrendyphone.eu,Denmark,excl,"""ht"""
net-one.gr,Greece,unknown,no VAT statement found on page
netfix.tech,Italy,unknown,no VAT statement found on page
nordviks.se,Denmark,unknown,no VAT statement found on page
nvs.gr,Greece,unknown,no VAT statement found on page
onlinemobileparts.com.au,Australia,excl,"""ht"""
onstoreitalia.it,Italy,excl,"""netto"""
outletaccessori.it,Italy,excl,"""netto"""
partexpert.nl,Netherlands,excl,"""ht"""
partly.nl,Netherlands,unknown,no VAT statement found on page
parts-store.pl,Poland,incl,"both seen; picked incl (""brutto"")"
parts4cells.com,Cyprus,unknown,no VAT statement found on page
parts4phone.com,France,incl,"""ttc"""
parts4repair.de,Germany,incl,"both seen; picked incl (""inkl. mwst"")"
partsfixit.com,USA,unknown,no VAT statement found on page
phf-shop.com,Germany,excl,"""netto"""
phone-parts.dk,Denmark,unknown,no VAT statement found on page
phone-werk.de,Germany,excl,"""ht"""
phoneassist.net,Italy,unknown,no VAT statement found on page
phonefix.fi,Finland,excl,"""ht"""
phonelcdparts.com,USA,excl,"""ht"""
phonepartner.fr,France,unknown,no VAT statement found on page
phonepartsbg.com,Bulgaria,excl,"""ht"""
phonepartsrus.com,Czechia,excl,"""ht"""
phonexpert78.com,Luxembourg,unknown,no VAT statement found on page
phonexperts.ng,Nigeria,excl,"""ht"""
piecegsm.com,France,unknown,no VAT statement found on page
pieces2mobile.com,France,incl,"both seen; picked incl (""ttc"")"
preciosadictos.com,Spain,incl,"both seen; picked incl (""iva incl"")"
ptmobil.cz,Czechia,unknown,no VAT statement found on page
puhelinshop.fi,Finland,excl,"""ht"""
pulledparts.co.uk,UK,excl,"""ht"""
purplee.pt,Portugal,unknown,no VAT statement found on page
reflexmagasin.com,France,incl,"""ttc"""
repairdepot.com,USA,excl,"""ht"""
repairpartsusa.com,Austria,unknown,no VAT statement found on page
repairsuniverse.com,USA,excl,"""ht"""
reparacaomobile.pt,Portugal,unknown,no VAT statement found on page
reparatiegroothandel.nl,Netherlands,excl,"""exclusief btw"""
reparation-iphone.com,France,incl,"""ttc"""
reparatur-werk.com,Germany,incl,"both seen; picked incl (""inkl. mwst"")"
replacebase.co.uk,UK,excl,"""ht"""
repuestosfuentes.es,Spain,unknown,no VAT statement found on page
repuestosparatumovil.es,Spain,unknown,no VAT statement found on page
repuestostic.com,Spain,unknown,no VAT statement found on page
restorephone.fr,France,unknown,no VAT statement found on page
riparafast.it,Italy,excl,"""ht"""
screen-stocks.com,USA,excl,"""ht"""
screenshelf.ie,Ireland,incl,"both seen; picked incl (""inc vat"")"
servisnidily.cz,Czechia,unknown,no VAT statement found on page
setup.lt,Lithuania,unknown,no VAT statement found on page
shop.cec.lv,Latvia,excl,"""ht"""
signalocentras.lt,Lithuania,unknown,no VAT statement found on page
smartech.ee,Estonia,unknown,no VAT statement found on page
smartexstore.it,Italy,incl,"both seen; picked incl (""iva incl"")"
smartstores.sk,Slovakia,excl,"""ht"""
spainsellers.com,Spain,incl,"""iva incl"""
sparepart.dk,Denmark,unknown,no VAT statement found on page
spares.no,Norway,unknown,no VAT statement found on page
startdistribuzione.it,Italy,incl,"both seen; picked incl (""iva incl"")"
techcomponentes.com,Portugal,unknown,no VAT statement found on page
teevo.com,China,excl,"""excl. vat"""
tekniikkaosat.fi,Finland,incl,"both seen; picked incl (""sis. alv"")"
teknikdelar.se,Sweden,incl,"both seen; picked incl (""inkl. moms"")"
teknikdele.dk,Denmark,excl,"""ht"""
teknikkdeler.no,Norway,incl,"both seen; picked incl (""inkl. mva"")"
telefonubaterijos.lt,Lithuania,unknown,no VAT statement found on page
telesfera.lt,Lithuania,unknown,no VAT statement found on page
telo24.ee,Estonia,unknown,no VAT statement found on page
therepairplus.com,UK,unknown,no VAT statement found on page
thescreensurgery.com,UK,excl,"""ht"""
touchandscreen.de,Germany,incl,"both seen; picked incl (""preise inkl"")"
touchscreen.bg,Bulgaria,unknown,no VAT statement found on page
twhouse.co.uk,UK,unknown,unreachable
unlockr.ca,Canada,unknown,no VAT statement found on page
utopya.com,France,excl,"""ht"""
utopya.it,Italy,excl,"""netto"""
vapaakauppa.net,Finland,unknown,no VAT statement found on page
vsekmobilu.cz,Czechia,excl,"""ht"""
web-sm.it,Italy,excl,"""netto"""
wgp.com,USA,excl,"""ht"""
wholesalegadgetparts.com,United States,excl,"""ht"""
witrigs.com,China,excl,"""ht"""
world-itech.com,France,incl,"both seen; picked incl (""vat included"")"
xda.gr,Greece,excl,"""ht"""
yodoit.com,Croatia,excl,"""ht"""
