Country,Site,Type,Status,LoginGated,Prices,URL
Bulgaria,izgradi.net,shop,discovered,no,0,https://shop.izgradi.net/shop/%D0%B4%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9/%D0%B4%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B9-iphone/
Bulgaria,masterclub.info,shop,discovered,no,0,https://masterclub.info/
Bulgaria,mobax.bg,shop,discovered,no,0,https://mobax.bg
Bulgaria,mobifixbg.com,shop,priced,no,40,https://mobifixbg.com
Bulgaria,mobiselect.bg,shop,discovered,no,0,https://mobiselect.bg
Bulgaria,mobishop.bg,shop,discovered,no,0,https://mobishop.bg/
Bulgaria,pdconsult.eu,buyback,discovered,no,0,https://pdconsult.eu
Bulgaria,phonepartsbg.com,shop,priced,YES,8,https://phonepartsbg.com
Bulgaria,phonerepairhub.bg,shop,discovered,no,0,https://phonerepairhub.bg
Bulgaria,plasto-service.com,shop,discovered,no,0,https://plasto-service.com
Bulgaria,pop-gsmservice.com,buyback,discovered,no,0,https://www.pop-gsmservice.com/uslugi/izkupuvane-na-telefoni/
Bulgaria,restore.bg,buyback,discovered,no,0,https://restore.bg
Bulgaria,rezervni-chasti.bg,shop,discovered,no,0,https://rezervni-chasti.bg/
Bulgaria,servizko.bg,shop,login-gated,YES,0,https://servizko.bg
Bulgaria,skyfon-accessories.eu,shop,login-gated,YES,0,https://skyfon-accessories.eu
Bulgaria,sm-mobile.com,shop,discovered,no,0,https://sm-mobile.com
Bulgaria,spareparts.bg,shop,discovered,no,0,https://spareparts.bg
Bulgaria,store-bg.net,shop,discovered,no,0,https://store-bg.net/
Bulgaria,swipe.bg,buyback,discovered,no,0,https://swipe.bg/prodai/apple
Bulgaria,touchscreen.bg,shop,priced,no,16,https://touchscreen.bg/komplekt-tach-s-ekran/komplekt-tach-s-ekran-apple
Bulgaria,twinsmobile.bg,shop,discovered,no,0,https://twinsmobile.bg
Bulgaria,varnagsm.com,shop,discovered,no,0,https://varnagsm.com
Croatia,ab-mobiteli.com,shop,priced,no,20,https://ab-mobiteli.com
Croatia,appleking.hr,shop,priced,no,1,https://www.appleking.hr/zamjenski-oled-ekran-s-povrsinom-osjetljivom-na-dodir-i-okvirom-za-apple-iphone-x
Croatia,ekrani.hr,shop,discovered,no,0,https://ekrani.hr/
Croatia,electronic-center.hr,shop,discovered,no,0,http://www.electronic-center.hr/veleprodaja/telefoni-mobiteli/mobiteli-i-oprema.html
Croatia,fixshop.hr,shop,priced,no,3,https://fixshop.hr/rezervni-dijelovi-apple-iphone-apple-iphone-6s/
Croatia,gsmdijelovi.hr,shop,discovered,no,0,https://gsmdijelovi.hr/
Croatia,lcdshop.hr,shop,discovered,no,0,https://lcdshop.hr/
Croatia,mobyfix.hr,shop,priced,no,6,https://mobyfix.hr/proizvodi/rezervni-dijelovi/
Croatia,primusmedia.hr,shop,priced,no,1,https://primusmedia.hr/proizvod/iphone-11-lcd-ekran-display-touch-screen-komplet/
Croatia,servis-mobitela.hr,shop,discovered,no,0,https://servis-mobitela.hr/
Croatia,smartphoneservice.hr,shop,login-gated,YES,0,https://smartphoneservice.hr/kategorija-proizvoda/rezervni-dijelovi/ekrani-rezervni-dijelovi/apple-ekrani-rezervni-dijelovi/
Croatia,yodoit.com,shop,priced,no,21,https://yodoit.com
