Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL,CheapestForModelAtShop
amdetech.gr,Greece,iPhone 14 Plus,pulled,159.97,EUR,159.97,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/iphone-antallaktika-el/pulled-gnisio-antallaktiko-gia-iphone-14-plus-oled-othoni-and-afis-touch-screen-digitizer-antallaktiko-kainoyrgio/,YES
amdetech.gr,Greece,iPhone 14 Pro Max,original,259.97,EUR,259.97,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/pulled-genuine-gnisia-iphone-14-pro-max-oled-othoni-lcd-and-afis-touch-screen-digitizer-antallaktiko-grade-a/,YES
amdetech.gr,Greece,iPhone 15,original,189.97,EUR,189.97,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/iphone-antallaktika-el/pulled-genuine-gnisia-iphone-15-oled-othoni-and-afis-touch-screen-digitizer-antallaktiko-a-grade-el/,YES
amdetech.gr,Greece,iPhone 16 Plus,original,164.49,EUR,164.49,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/iphone-antallaktika-el/pulled-genuine-gnisia-iphone-16-plus-oled-othoni-and-afis-touch-screen-digitizer-antallaktiko-d-grade/,YES
amdetech.gr,Greece,iphone 12 pro max,original,144.97,EUR,144.97,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/antallaktika-iphone/iphone-12-series-el/pulled-gnisio-antallaktiko-gia-iphone-12-pro-max-oled-display-and-touch-screen-digitizer-assembly-replacement-apple-grade-a-en-el/,YES
amdetech.gr,Greece,iphone 13 pro max,original,179.97,EUR,179.97,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/antallaktika-iphone/iphone-13-series-el/pulled-gnisio-antallaktiko-gia-iphone-13-pro-max-oled-display-and-touch-screen-digitizer-assembly-replacement-apple-grade-a-en-el/,YES
amdetech.gr,Greece,iphone 14 pro max,original,234.97,EUR,234.97,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/antallaktika-iphone/iphone-14-series-el/pulled-genuine-original-iphone-14-pro-max-oled-display-and-touch-screen-digitizer-assembly-replacement-grade-a-el/,YES
amdetech.gr,Greece,iphone 16 pro max,pulled,379.97,EUR,379.97,VAT basis UNKNOWN — shown as listed,no,https://www.amdetech.gr/apple-antallaktika/antallaktika-iphone/iphone-16-series/pulled-genuine-gnisia-iphone-16-pro-max-oled-othoni-and-afis-touch-screen-digitizer-antallaktiko-a-grade-en-el/,YES
androgeek.es,Spain,iphone 11,original,21.45,EUR,21.45,already ex-VAT,no,https://androgeek.es/pantallas/3531-pantalla-iphone-11-100-original-remanufacturada-lcddisplay-1201319031641.html,YES
appleparts.nl,Netherlands,iPhone 14 Plus,pulled,199,EUR,199,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/iphone-14-plus-scherm-origineel-pulled?_pos=9&_sid=433506182&_ss=r,YES
appleparts.nl,Netherlands,iPhone 14 Plus,pulled,199,EUR,199,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/iphone-14-plus-scherm-origineel-pulled?_pos=8&_sid=433506182&_ss=r,no
appleparts.nl,Netherlands,iPhone 14 Pro Max,pulled,239,EUR,239,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-iphone-14-pro-max-origineel-pulled?_pos=2&_sid=433506182&_ss=r,YES
appleparts.nl,Netherlands,iPhone 14 Pro Max,pulled,239,EUR,239,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-iphone-14-pro-max-origineel-pulled?_pos=3&_sid=433506182&_ss=r,no
appleparts.nl,Netherlands,iPhone 15,pulled,175,EUR,175,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-voor-iphone-15-origineel-pulled?_pos=3&_sid=433506182&_ss=r,YES
appleparts.nl,Netherlands,iPhone 15,pulled,175,EUR,175,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-voor-iphone-15-origineel-pulled?_pos=4&_sid=433506182&_ss=r,no
appleparts.nl,Netherlands,iPhone 15 Pro,pulled,319,EUR,319,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-15-pro-origineel-pulled-a-grade-met-lichtsensor-flex?_pos=7&_sid=433506182&_ss=r,YES
appleparts.nl,Netherlands,iPhone 16,pulled,198,EUR,198,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-pulled?_pos=6&_sid=433506182&_ss=r,YES
appleparts.nl,Netherlands,iPhone 16,pulled,198,EUR,198,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-pulled?_pos=5&_sid=433506182&_ss=r,no
appleparts.nl,Netherlands,iPhone 16,original,349,EUR,349,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-service-pack-661-44797?_pos=8&_sid=433506182&_ss=r,no
appleparts.nl,Netherlands,iPhone 16,original,349,EUR,349,VAT basis UNKNOWN — shown as listed,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-service-pack-661-44797?_pos=5&_sid=433506182&_ss=r,no
